File,Test Month,State,District,District Code,Experience in Plumbing,Pre -Test,Post -Test, Which type of pipe is suitable for both hot and cold water?, How deep is the water seal in the P Trap? ,What is the purpose of a non-return valve (NRV)?,What is the minimum diameter of a soil pipe in a residential building?,A trap prevents foul gases from entering the building.,PEX pipes are commonly used in gas pipelines., The height of air pipe with water tank should be…….,What is the colour of CPVC SDR 11? ,What is the color of UPVC SCH 40 pipe?,Where are PVC connection pipes used?, Which type of pipe is suitable for both hot and cold water?, How deep is the water seal in the P Trap? ,What is the purpose of a non-return valve (NRV)?,What is the minimum diameter of a soil pipe in a residential building?,A trap prevents foul gases from entering the building.,PEX pipes are commonly used in gas pipelines., The height of air pipe with water tank should be…….,What is the colour of CPVC SDR 11? ,What is the color of UPVC SCH 40 pipe?,Where are PVC connection pipes used?,Grand total,Score
OD-AUG1_0066.jpg,August,Odisha,Balangir,2 ,,,Post -Test,,B,,,,, A,B, A,,,1,,,,,0,0,0,,1,10%
OD-AUG2_0024.jpg,August,Odisha,Balangir,2 ,,,Post -Test,,,,,,,,,,D,,,,,,,,,,1,1,10%
OD-AUG2_0060.jpg,August,Odisha,Balangir,2 ,,,Post -Test, A,,,, A,, A,,,,0,,,,1,,0,,,,1,10%
OD-AUG2_0063.jpg,August,Odisha,Balangir,2 ,,,Post -Test,,,D,, A,,,D,,,,,0,,1,,,0,,,1,10%
OD-AUG2_0068.jpg,August,Odisha,Balangir,2 ,,,Post -Test,B,,,,,,,,,,1,,,,,,,,,,1,10%
OD-AUG2_0070.jpg,August,Odisha,Balangir,2 ,,,Post -Test,,,B,,,B,,,,,,,0,,,1,,,,,1,10%
OD-AUG2_0075.jpg,August,Odisha,Balangir,2 ,,,Post -Test,,,,,,,,,,D,,,,,,,,,,1,1,10%
OD-AUG2_0077.jpg,August,Odisha,Balangir,2 ,,,Post -Test,,,,,,B,,,,,,,,,,1,,,,,1,10%
OD-AUG2_0097.jpg,August,Odisha,Balangir,2 ,,,Post -Test,,,C,,,,C,B,,,,,1,,,,0,0,,,1,10%
OD-AUG2_0104.jpg,August,Odisha,Balangir,2 ,,,Post -Test,B,,,,,,,,,,1,,,,,,,,,,1,10%
OD-AUG2_0145.jpg,August,Odisha,Balangir,2 ,,,Post -Test,,,,,,,,,,D,,,,,,,,,,1,1,10%
OD-AUG2_0160.jpg,August,Odisha,Bargarh,4 ,,,Post -Test,B,,,,,,,,,,1,,,,,,,,,,1,10%
OD-AUG2_0184.jpg,August,Odisha,Bargarh,4 ,More than 5 Years,,Post -Test,,B,,,,,,,,,,1,,,,,,,,,1,10%
OD-AUG2_0192.jpg,August,Odisha,Bargarh,4 ,More than 5 Years,,Post -Test,,,,,,B,,,,,,,,,,1,,,,,1,10%
OD-AUG2_0200.jpg,August,Odisha,Bargarh,4 ,More than 5 Years,,Post -Test,B,,,,,,,,,,1,,,,,,,,,,1,10%
OD-AUG4_0042.jpg,August,Odisha,Balasore,3 ,,,Post -Test,,,,,,,,,,D,,,,,,,,,,1,1,10%
OD-AUG4_0050.jpg,August,Odisha,Balasore,3 ,,,Post -Test,B,,,,,,,,,,1,,,,,,,,,,1,10%
OD-AUG4_0053.jpg,August,Odisha,Balasore,3 ,,,Post -Test,,,,,,,,,C,,,,,,,,,,1,,1,10%
OD-AUG4_0057.jpg,August,Odisha,Balasore,3 ,,,Post -Test,,,,,,,,,C,,,,,,,,,,1,,1,10%
OD-AUG4_0058.jpg,August,Odisha,Balasore,3 ,,,Post -Test,,,,,,,,,C,,,,,,,,,,1,,1,10%
OD-AUG5_0028.jpg,August,Odisha,Balasore,3 ,,,Post -Test,,C,C,,,,,,,,,0,1,,,,,,,,1,10%
OD-AUG5_0031.jpg,August,Odisha,Balasore,3 ,,,Post -Test,,,,B,,,,,,,,,,1,,,,,,,1,10%
OD-AUG5_0088.jpg,August,Odisha,Rayagada,26 ,,,Post -Test,,B,,,,, A,B,B,,,1,,,,,0,0,0,,1,10%
OD-AUG6_0003.jpg,August,Odisha,Rayagada,26 ,,,Post -Test,,B,,,,,,,,,,1,,,,,,,,,1,10%
OD-AUG6_0007.jpg,August,Odisha,Rayagada,26 ,,,Post -Test,B,,,,,,,,,,1,,,,,,,,,,1,10%
OD-AUG6_0015.jpg,August,Odisha,Rayagada,26 ,,,Post -Test,,,,B,,,,,,,,,,1,,,,,,,1,10%
OD-Jul1_0006.jpg,July,Odisha,Balangir,2,,,Post -Test,,,,, A,,,,,,,,,,1,,,,,,1,10%
OD-Jul2_0044.jpg,July,Odisha,Sambalpur,27,,,Post -Test,,,,,,,B,,,,,,,,,,1,,,,1,10%
JH-Aug-1_0034.jpg,July,Jharkhand,Giridih,38 ,More than 5 Years,,Post -Test,,,,B,,,,,,,,,,1,,,,,,,1,10%
JH-Aug-1_0044.jpg,August,Jharkhand,Giridih,38 ,,,Post -Test,B,,C,A,A,,B,,,D,1,,1,0,1,,1,,,1,5,50%
JH-Aug-1_0051.jpg,August,Jharkhand,Giridih,38 ,More than 5 Years,,Post -Test,,C,C,A,,,,,,,,0,1,0,,,,,,,1,10%
JH-Aug-1_0131.jpg,August,Jharkhand,Bokaro,31 ,,,Post -Test,,,,,,,,,C,,,,,,,,,,1,,1,10%
JH-Aug-1_0133.jpg,August,Jharkhand,Bokaro,31 ,,,Post -Test,B,D,,,A,,,,,,1,0,,,1,,,,,,2,20%
JH-Aug-1_0136.jpg,August,Jharkhand,Bokaro,31 ,More than 5 Years,,Post -Test,,,C,,,B,,,,D,,,1,,,1,,,,1,3,30%
JH-Aug-1_0180.jpg,August,Jharkhand,Dhanbad,34 ,More than 5 Years,,Post -Test,,,C,,,,B,,,,,,1,,,,1,,,,2,20%
JH-Aug-1_0193.jpg,August,Jharkhand,Dhanbad,34 ,More than 5 Years,,Post -Test,B,B,,,A,,B,,,,1,1,,,1,,1,,,,4,40%
JH-Aug-1_0207.jpg,July,Jharkhand,Hazaribagh,41 ,,,Post -Test,,,C,,,,,A,,,,,1,,,,,1,,,2,20%
JH-Aug-1_0208.jpg,July,Jharkhand,Hazaribagh,41 ,,,Post -Test,B,C,,B,A,,,,,,1,0,,1,1,,,,,,3,30%
JH-Aug-1_0213.jpg,July,Jharkhand,Hazaribagh,41 ,No experience,,Post -Test,,,C,A,,,,,B,D,,,1,0,,,,,0,1,2,20%
JH-Aug-1_0214.jpg,August,Jharkhand,Hazaribagh,41 ,3 to 5 Year,,Post -Test,B,C,,,A,,,,,,1,0,,,1,,,,,,2,20%
JH-Aug-1_0218.jpg,July,Jharkhand,Hazaribagh,41 ,No experience,,Post -Test,B,B,,,,,B,,,,1,1,,,,,1,,,,3,30%
JH-Aug-1_0229.jpg,July,Jharkhand,Hazaribagh,41 ,,,Post -Test,,,C,,A,,B,,B,D,,,1,,1,,1,,0,1,4,40%
JH-Aug-1_0264.jpg,July,Jharkhand,Hazaribagh,41 ,,,Post -Test,B,,,,,,B,,,,1,,,,,,1,,,,2,20%
JH-Aug-1_0296.jpg,July,Jharkhand,Hazaribagh,41 ,More than 5 Years,,Post -Test,B,C,B,C,,,,,,,1,0,0,0,,,,,,,1,10%
